Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
69,Ted McClain\mcclate01,SG,29,NYA,30,,23.2,4.3,10.1,.422,0.1,0.3,.200,4.2,9.8,.430,.426,2.7,3.4,.812,0.9,1.5,2.4,3.5,1.9,0.3,2.8,3.7,11.3
70,Jim McDaniels\mcdanji01,C,27,KEN,29,,12.6,2.7,5.7,.473,0.0,0.0,,2.7,5.7,.473,.473,0.8,1.0,.821,1.4,2.9,4.3,0.7,0.3,0.6,1.3,2.2,6.2
71,Patrick McFarland\mcfarpa01,SG,24,SDS,11,,25.0,5.0,10.9,.458,0.1,0.2,.500,4.9,10.7,.458,.463,1.9,2.0,.955,1.5,2.5,4.0,3.5,0.5,0.1,2.6,1.8,12.0
72,Bill Melchionni\melchbi01,PG,31,NYA,67,,17.8,2.2,5.3,.416,0.1,0.3,.391,2.1,5.0,.418,.429,1.2,1.4,.849,0.2,1.1,1.3,4.0,0.8,0.1,1.4,1.0,5.8
73,Allen Murphy\murphal01,SG,23,KEN,29,,8.6,1.5,3.9,.377,0.0,0.0,.000,1.5,3.9,.381,.377,0.9,1.3,.730,0.8,0.8,1.6,0.4,0.3,0.3,0.9,1.8,3.9
74,Swen Nater\natersw01,C,26,TOT,76,,23.6,4.2,8.6,.492,0.0,0.1,.000,4.2,8.5,.495,.492,1.4,2.0,.697,3.0,7.1,10.1,0.7,0.4,0.7,2.2,3.1,9.8
74,Swen Nater\natersw01,C,26,NYA,43,,23.6,3.7,7.7,.485,0.0,0.1,.000,3.7,7.6,.489,.485,1.3,1.8,.718,3.2,7.0,10.3,0.4,0.4,0.6,2.2,3.3,8.7
74,Swen Nater\natersw01,C,26,VIR,33,,23.5,4.8,9.7,.498,0.0,0.0,.000,4.8,9.7,.500,.498,1.6,2.3,.675,2.7,7.1,9.8,1.1,0.4,0.8,2.3,2.9,11.3
75,Bob Netolicky\netolbo01,PF,33,INA,4,,13.3,2.0,5.3,.381,0.0,0.0,,2.0,5.3,.381,.381,0.8,0.8,1.000,1.8,1.3,3.0,0.0,0.0,0.3,1.3,0.5,4.8
76,Johnny Neumann\neumajo01,SG,24,TOT,77,,20.6,5.1,12.3,.414,0.9,2.7,.341,4.2,9.6,.435,.452,2.0,2.5,.799,1.0,1.6,2.6,2.2,0.9,0.3,2.3,2.9,13.1
76,Johnny Neumann\neumajo01,SG,24,VIR,35,,22.2,6.3,15.7,.404,1.2,3.5,.344,5.1,12.2,.421,.442,2.7,3.2,.857,1.2,1.5,2.6,1.9,1.1,0.5,2.3,3.3,16.6
76,Johnny Neumann\neumajo01,SG,24,KEN,42,,19.3,4.1,9.5,.429,0.7,2.0,.337,3.4,7.5,.454,.465,1.3,1.8,.714,0.9,1.7,2.6,2.5,0.7,0.2,2.2,2.5,10.1
77,Mark Olberding\olberma01,PF-SF,19,TOT,81,,25.4,3.7,7.5,.498,0.0,0.0,,3.7,7.5,.498,.498,2.4,3.0,.773,2.3,4.3,6.5,1.8,0.6,0.5,1.7,3.1,9.8
77,Mark Olberding\olberma01,SF,19,SDS,11,,39.5,6.3,13.1,.479,0.0,0.0,,6.3,13.1,.479,.479,2.7,3.9,.698,3.2,6.4,9.5,1.6,0.9,0.6,2.5,4.7,15.3
77,Mark Olberding\olberma01,PF,19,SAA,70,,23.2,3.3,6.6,.503,0.0,0.0,,3.3,6.6,.503,.503,2.3,2.9,.789,2.1,3.9,6.1,1.8,0.6,0.4,1.6,2.8,9.0
78,Tom Owens\owensto01,C,26,TOT,74,,15.0,2.4,5.0,.482,0.0,0.0,,2.4,5.0,.482,.482,1.2,1.7,.713,1.6,2.7,4.3,0.9,0.1,0.6,1.0,2.7,6.1
78,Tom Owens\owensto01,C,26,KEN,19,,17.2,2.4,5.5,.438,0.0,0.0,,2.4,5.5,.438,.438,1.4,2.3,.591,1.7,3.2,4.9,1.0,0.3,0.9,1.4,2.6,6.2
78,Tom Owens\owensto01,C,26,INA,16,,15.2,2.6,5.1,.512,0.0,0.0,,2.6,5.1,.512,.512,1.3,1.6,.800,1.8,2.6,4.3,0.6,0.1,0.7,1.2,3.3,6.5
78,Tom Owens\owensto01,C,26,SAA,39,,13.8,2.3,4.7,.495,0.0,0.0,,2.3,4.7,.495,.495,1.2,1.5,.767,1.4,2.6,4.0,1.1,0.1,0.3,0.7,2.5,5.8
79,Barry Parkhill\parkhba01,SG,24,SSL,35,,10.8,1.1,2.9,.370,0.0,0.3,.091,1.0,2.5,.404,.375,0.1,0.2,.625,0.1,0.7,0.7,1.8,0.3,0.2,0.8,1.3,2.3
80,Billy Paultz\paultbi01,C,27,SAA,83,,35.6,6.8,13.5,.504,0.0,0.0,.000,6.8,13.5,.504,.504,2.9,3.9,.735,2.5,7.9,10.4,4.1,0.7,3.0,2.8,2.8,16.5
81,Marv Roberts\roberma01,SF,26,TOT,72,,21.7,3.6,8.6,.417,0.0,0.0,,3.6,8.6,.417,.417,1.5,1.9,.781,1.4,1.8,3.3,1.7,0.5,0.1,1.4,2.1,8.7
81,Marv Roberts\roberma01,SF,26,KEN,40,,25.1,4.3,9.6,.442,0.0,0.0,,4.3,9.6,.442,.442,2.2,2.8,.779,1.9,2.1,4.0,2.0,0.5,0.2,1.7,2.4,10.7
81,Marv Roberts\roberma01,SF,26,VIR,32,,17.4,2.8,7.4,.377,0.0,0.0,,2.8,7.4,.377,.377,0.6,0.8,.792,0.9,1.5,2.4,1.3,0.5,0.1,1.0,1.7,6.2
82,Dave Robisch\robisda01,C-PF,26,TOT,87,,32.1,5.0,11.9,.422,0.0,0.0,.000,5.0,11.8,.423,.422,3.7,4.4,.850,3.2,5.9,9.1,1.9,0.8,0.7,1.3,2.3,13.7
